i	j	iLIS_best	iLIS_avg	ipTM_best	src
135	182	0.374	0.314	0.52	1
35	24	0.374	0.176	0.43	1
195	180	0.373	0.204	0.61	1
191	46	0.373	0.146	0.63	1
124	220	0.373	0.229	0.61	1
244	208	0.373	0.089	0.77	1
11	199	0.373	0.341	0.53	1
134	74	0.372	0.323	0.39	1
128	220	0.372	0.206	0.55	1
50	218	0.372	0.098	0.65	1
178	32	0.372	0.276	0.48	1
181	178	0.372	0.226	0.44	1
229	187	0.372	0.304	0.76	1
101	216	0.371	0.167	0.75	1
115	103	0.371	0.230	0.60	1
126	236	0.371	0.074	0.66	1
178	186	0.371	0.349	0.75	1
186	36	0.371	0.237	0.69	1
234	210	0.370	0.096	0.51	1
119	50	0.370	0.282	0.48	1
127	124	0.370	0.316	0.52	1
51	109	0.369	0.282	0.56	1
137	130	0.369	0.284	0.79	1
117	180	0.369	0.267	0.43	1
69	49	0.369	0.077	0.64	1
76	114	0.368	0.093	0.45	1
96	151	0.368	0.257	0.69	1
0	90	0.368	0.084	0.44	1
135	8	0.368	0.281	0.33	1
186	117	0.367	0.214	0.68	1
9	122	0.367	0.306	0.67	1
164	204	0.367	0.103	0.50	1
133	27	0.367	0.080	0.51	1
181	179	0.367	0.276	0.59	1
45	207	0.366	0.261	0.58	1
17	218	0.366	0.074	0.69	1
44	138	0.365	0.221	0.40	1
98	209	0.365	0.073	0.69	1
232	129	0.365	0.105	0.68	1
171	178	0.365	0.319	0.49	1
119	10	0.365	0.236	0.41	1
2	196	0.364	0.100	0.46	1
114	215	0.364	0.256	0.58	1
174	124	0.364	0.073	0.34	1
238	199	0.364	0.086	0.47	1
135	74	0.364	0.251	0.41	1
127	230	0.364	0.087	0.47	1
134	182	0.363	0.332	0.57	1
134	183	0.363	0.141	0.45	1
18	219	0.362	0.239	0.64	1
128	79	0.362	0.185	0.44	1
226	220	0.362	0.083	0.59	1
166	117	0.361	0.173	0.52	1
128	123	0.361	0.246	0.65	1
125	120	0.361	0.326	0.78	1
21	98	0.361	0.124	0.55	1
115	51	0.361	0.095	0.60	1
208	177	0.360	0.237	0.45	1
39	207	0.360	0.127	0.60	1
2	49	0.360	0.205	0.48	1
